old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-deutsch-german-language-pack-deutsches-sprachpak-IND;JB-ADD-DEUTSCGLPDS-IND-1Y-USER;JetBrains;JetBrains Deutsch (German) Language Pack / Deutsches Sprachpaket (личная);ADD;DEUTSCGLPDS;IND;1Y;USER;
JB-PLG-direnv-pro-IND;JB-ADD-DIRENVPRO-IND-1Y-USER;JetBrains;JetBrains DirEnv Pro (личная);ADD;DIRENVPRO;IND;1Y;USER;
JB-PLG-django-powertools-ORG;JB-ADD-DJANGOP-TEAM-1Y-USER;JetBrains;JetBrains Django PowerTools;ADD;DJANGOP;TEAM;1Y;USER;
JB-PLG-django-powertools-IND;JB-ADD-DJANGOP-IND-1Y-USER;JetBrains;JetBrains Django PowerTools (личная);ADD;DJANGOP;IND;1Y;USER;
JB-PLG-django-command-runner-IND;JB-ADD-DJANGOCR-IND-1Y-USER;JetBrains;JetBrains Django command runner (личная);ADD;DJANGOCR;IND;1Y;USER;
JB-PLG-docgenie-ORG;JB-ADD-DOCGENIE-TEAM-1Y-USER;JetBrains;JetBrains DocGenie;ADD;DOCGENIE;TEAM;1Y;USER;
JB-PLG-docgenie-IND;JB-ADD-DOCGENIE-IND-1Y-USER;JetBrains;JetBrains DocGenie (личная);ADD;DOCGENIE;IND;1Y;USER;
JB-PLG-docker-manager-ORG;JB-ADD-DOCKERM-TEAM-1Y-USER;JetBrains;JetBrains Docker Manager;ADD;DOCKERM;TEAM;1Y;USER;
JB-PLG-docker-manager-IND;JB-ADD-DOCKERM-IND-1Y-USER;JetBrains;JetBrains Docker Manager (личная);ADD;DOCKERM;IND;1Y;USER;
JB-PLG-docstring-freshness-monitor-ORG;JB-ADD-DOCSTRFM-TEAM-1Y-USER;JetBrains;JetBrains Docstring Freshness Monitor;ADD;DOCSTRFM;TEAM;1Y;USER;
JB-PLG-docstring-freshness-monitor-IND;JB-ADD-DOCSTRFM-IND-1Y-USER;JetBrains;JetBrains Docstring Freshness Monitor (личная);ADD;DOCSTRFM;IND;1Y;USER;
JB-PLG-doneit-ORG;JB-ADD-DONEIT-TEAM-1Y-USER;JetBrains;JetBrains DoneIt;ADD;DONEIT;TEAM;1Y;USER;
JB-PLG-doneit-IND;JB-ADD-DONEIT-IND-1Y-USER;JetBrains;JetBrains DoneIt (личная);ADD;DONEIT;IND;1Y;USER;
JB-PLG-drypush-aws-gcp-alibaba-deploy-and-upload-IND;JB-ADD-DRYPUSAGADAU-IND-1Y-USER;JetBrains;JetBrains DryPush: AWS | GCP | Alibaba Deploy & Upload (личная);ADD;DRYPUSAGADAU;IND;1Y;USER;
JB-PLG-dynamodb-IND;JB-ADD-DYNAMODB-IND-1Y-USER;JetBrains;JetBrains DynamoDB (личная);ADD;DYNAMODB;IND;1Y;USER;
JB-PLG-ejs-hero-ORG;JB-ADD-EJSHERO-TEAM-1Y-USER;JetBrains;JetBrains EJS Hero;ADD;EJSHERO;TEAM;1Y;USER;
JB-PLG-ejs-hero-IND;JB-ADD-EJSHERO-IND-1Y-USER;JetBrains;JetBrains EJS Hero (личная);ADD;EJSHERO;IND;1Y;USER;
JB-PLG-easely-IND;JB-ADD-EASELY-IND-1Y-USER;JetBrains;JetBrains Easely (личная);ADD;EASELY;IND;1Y;USER;
JB-PLG-easycode-plus-ORG;JB-ADD-EASYCODEPLUS-TEAM-1Y-USER;JetBrains;JetBrains EasyCode Plus;ADD;EASYCODEPLUS;TEAM;1Y;USER;
JB-PLG-easycode-plus-IND;JB-ADD-EASYCODEPLUS-IND-1Y-USER;JetBrains;JetBrains EasyCode Plus (личная);ADD;EASYCODEPLUS;IND;1Y;USER;
JB-PLG-editor-assist-for-code-ORG;JB-ADD-EDITORAFC-TEAM-1Y-USER;JetBrains;JetBrains Editor Assist For Code;ADD;EDITORAFC;TEAM;1Y;USER;
JB-PLG-editor-assist-for-code-IND;JB-ADD-EDITORAFC-IND-1Y-USER;JetBrains;JetBrains Editor Assist For Code (личная);ADD;EDITORAFC;IND;1Y;USER;
JB-PLG-eggshell-ORG;JB-ADD-EGGSHELL-TEAM-1Y-USER;JetBrains;JetBrains EggShell;ADD;EGGSHELL;TEAM;1Y;USER;
